Model,MAE,MSE,R2
Linear Regression,1704.0552685798373,6020540.915230995,0.05198818661133908
Random Forest,1605.4666163801369,5672919.524914699,0.1067256577532979
Improved Random Forest,1573.7514951779547,5570311.458250074,0.12288262117513093
Gradient Boosting,1647.3881233371026,6151294.651736097,0.031399324481367175
Log Random Forest,1662.2967253457516,7573100.531578688,-0.1924823481813489
